requirement_id,sentence,time_behavior,resource_utilization,efficiency_compliance,others
RQ0001,The system must update traffic signal statuses within 3 seconds of detecting traffic flow changes.,1,0,0,0
RQ0002,The system should not exceed 75% CPU utilization during peak hours to maintain optimal traffic flow.,0,1,0,0
RQ0003,Traffic data processing must be completed within 5 seconds to ensure real-time traffic management.,1,0,0,0
RQ0004,The system should consume no more than 15% of network bandwidth during regular operation.,0,1,0,0
RQ0005,The traffic control system must comply with ISO 25010 performance efficiency standards for critical operations.,0,0,1,0
RQ0006,The system should ensure less than 2 seconds of delay when managing high traffic volumes at intersections.,1,0,0,0
RQ0007,The system must use less than 30% memory during normal traffic load processing.,0,1,0,0
RQ0008,"The system should be designed to handle 10,000 concurrent connections with no significant degradation in speed.",1,0,0,0
RQ0009,The system must follow national traffic management standards for resource optimization.,0,0,1,0
RQ0010,"In case of heavy traffic, the system should adjust signal timing within 4 seconds to prevent congestion.",1,0,0,0
RQ0011,The system should not require more than 20% of available server space for traffic data storage.,0,1,0,0
RQ0012,The system must adhere to governmental efficiency regulations for traffic management.,0,0,1,0
RQ0013,"If an unexpected spike in traffic is detected, the system should react within 1 second.",1,0,0,0
RQ0014,The energy consumption of the system should be reduced by 10% over the next year while maintaining performance.,0,1,0,0
RQ0015,"The system should meet the SLAs for response time during emergencies, ensuring no more than 1-second delays.",1,0,0,
RQ0016,The system must process vehicle detection within 2 seconds to prevent traffic jams.,1,0,0,0
RQ0017,The CPU usage should remain under 65% during peak hours of traffic management.,0,1,0,0
RQ0018,The system must update traffic light timing within 3 seconds after detecting congestion.,1,0,0,0
RQ0019,The network bandwidth utilization should not exceed 50% during traffic monitoring operations.,0,1,0,0
RQ0020,The system must adhere to ISO 27001 standards for ensuring performance efficiency under high traffic load.,0,0,1,0
RQ0021,The vehicle speed detection system should respond in less than 1 second to avoid traffic violations.,1,0,0,0
RQ0022,The energy consumption of traffic signals should be reduced by 15% compared to last year while maintaining performance.,0,1,0,0
RQ0023,The system must comply with the national energy efficiency standard for traffic management systems.,0,0,1,0
RQ0024,The system should update traffic patterns within 4 seconds after detecting anomalies during heavy traffic.,1,0,0,0
RQ0025,The server utilization should not exceed 70% during regular traffic flow.,0,1,0,0
RQ0026,The system should comply with governmental standards for traffic control systems under high-stress conditions.,0,0,1,0
RQ0027,The response time for dynamic route changes must not exceed 5 seconds during emergencies.,1,0,0,0
RQ0028,The system's memory utilization should be under 60% during normal traffic conditions to ensure efficient operation.,0,1,0,0
RQ0029,The system must follow the ISO 25010 guidelines to ensure efficiency in high-traffic urban areas.,0,0,1,0
RQ0030,The system must update signal patterns within 2 seconds of receiving new traffic flow data.,1,0,0,0
RQ0031,Traffic analysis should require no more than 5 seconds to ensure real-time monitoring.,1,0,0,0
RQ0032,The system must comply with local energy-saving regulations to ensure sustainability.,0,0,1,0
RQ0033,System response time for accident detection must not exceed 1 second during peak hours.,1,0,0,0
RQ0034,The system should limit its network usage to under 55% during traffic updates to avoid bandwidth congestion.,0,1,0,0
RQ0035,The system must update vehicle detection information within 2 seconds to maintain safety.,1,0,0,0
RQ0036,The system should not exceed 50% CPU utilization during normal operation hours to ensure efficient processing.,0,1,0,0
RQ0037,The system must process incoming traffic data within 4 seconds during normal traffic conditions.,1,0,0,0
RQ0038,The system must reduce energy usage by 10% while ensuring that traffic lights operate at peak efficiency.,0,1,0,0
RQ0039,Traffic control systems should comply with international standards for energy efficiency.,0,0,1,0
RQ0040,The vehicle recognition system should respond within 3 seconds to improve traffic safety measures.,1,0,0,0
RQ0041,The system must recalibrate traffic signal timing within 1.5 seconds after detecting a sudden increase in traffic volume.,1,0,0,0
RQ0042,Real-time traffic analysis should take no longer than 3 seconds to display updated road conditions.,1,0,0,0
RQ0043,Emergency response alerts must be processed and communicated to traffic officers within 2 seconds of an incident being detected.,1,0,0,0
RQ0044,The system must maintain server CPU usage below 60% during non-peak hours to minimize energy consumption.,0,1,0,0
RQ0045,Memory consumption for processing vehicle detection data should not exceed 45% of available resources under normal conditions.,0,1,0,0
RQ0046,Traffic signal controllers should operate within 50% of allocated bandwidth to ensure efficient data transmission.,0,1,0,0
RQ0047,The system must comply with the ISO 25010 standard for performance efficiency in urban traffic management.,0,0,1,0
RQ0048,The system should adhere to government regulations for low-energy usage while maintaining high efficiency during peak operational hours.,0,0,1,0
RQ0049,"The system must dynamically allocate server resources, reducing energy consumption by 10% during low-traffic periods.",0,1,0,0
RQ0050,"Traffic light operation must comply with energy efficiency guidelines, reducing power consumption by 20%.",0,0,1,0
RQ0051,Vehicle detection accuracy should not fall below 95% even in adverse weather conditions to ensure reliable traffic control.,0,0,0,1
RQ0052,The system must process incoming traffic data within 4 seconds during normal traffic conditions.,1,0,0,0
RQ0053,"The system should prioritize scalability, allowing integration of additional sensors and cameras as the city's traffic network expands.",0,0,0,1
RQ0054,Backup servers must be activated within 1 second of a primary server failure to ensure continuous traffic monitoring.,1,0,0,0
RQ0055,The system must reduce energy usage by 10% while ensuring traffic lights operate at peak efficiency.,0,1,0,0
RQ0056,The system should support multi-language interfaces for ease of use by international operators in traffic management.,0,0,0,1
RQ0057,System downtime for maintenance should not exceed 0.5% of total operational hours to minimize disruptions.,0,0,0,1
RQ0058,Traffic congestion predictions must be updated every 2 seconds during peak hours for timely rerouting.,1,0,0,0
RQ0059,Network load for transmitting real-time traffic updates should not exceed 40% of total bandwidth capacity during peak hours.,0,1,0,0
RQ0060,The system must comply with local and international traffic management standards for efficient signal operation.,0,0,1,0
RQ0061,Traffic flow data must be processed in under 5 seconds during rush hour to ensure accurate route recommendations.,1,0,0,0
RQ0062,The system should automatically adjust traffic signals every 2 seconds in case of a detected accident.,1,0,0,0
RQ0063,The central server must not exceed 70% of its maximum processing capacity during normal operations.,0,1,0,0
